target_id,source_id,ra,dec,RUWE,non_single_star
2MASS J16214952+3004234,1318253560543432576,245.4567022,30.07326664,1.4568691,0
2MASS J16215041+3032471,1318283384796495744,245.4599208,30.54659487,1.1246426,0
2MASS J16215095+3233444,1325494531807738368,245.4621265,32.56202234,1.0610493,0
2MASS J16215095+3233444,1325494531807738368,245.4621265,32.56202234,1.0610493,0
2MASS J16215327+3029201,1318281868671469184,245.4719952,30.48895922,0.9557686,0
2MASS J16215386+2740118,1305320275848631296,245.4745059,27.66992155,1.343493,0
2MASS J16215418+3021482,1318267716755776384,245.4757616,30.36343379,1.1529245,0
2MASS J16215593+2619081,1303490486637569536,245.4831826,26.31892922,1.8448095,1
2MASS J16215593+2619081,1303490486637569536,245.4831826,26.31892922,1.8448095,1
2MASS J16215737+2746556,1305334505076296832,245.4889564,27.78233536,1.076831,0
2MASS J16215824+2507557,1302520545583585280,245.4926801,25.13205802,1.1361771,0
2MASS J16220033+2905038,1317577910648514048,245.5014032,29.08447536,0.9995515,0
2MASS J16220101+2531099,1303380054438221952,245.504203,25.5194111,1.0725842,0
2MASS J16220103+2730287,1305314988744858112,245.5043427,27.50797808,0.9987046,0
2MASS J16220112+2546308,1303399330251751680,245.5046784,25.77524859,1.0291214,0
2MASS J16220112+2546308,1303399330251751680,245.5046784,25.77524859,1.0291214,0
2MASS J16220237+2941142,1318162301078272128,245.5099484,29.68723157,1.0636889,2
2MASS J16220305+3032558,1318282491443297536,245.5120094,30.54831713,,0
2MASS J16220325+2555460,1303427677035792256,245.513585,25.9294433,0.91200453,0
2MASS J16220440+2704336,1305228608362535808,245.5182974,27.07615101,1.0261819,0
2MASS J16220440+2704336,1305228604068474368,245.5190172,27.07719809,1.0168301,0
2MASS J16220471+2559094,1303428879626638848,245.5196738,25.98581877,1.0677872,0
2MASS J16220488+2916436,1317958753988577152,245.5203761,29.27877986,0.9180851,0
2MASS J16220571+2608597,1303478701247287680,245.523892,26.14987197,0.9685549,0
2MASS J16220571+2608597,1303478701247287680,245.523892,26.14987197,0.9685549,0
2MASS J16220607+3043211,1318381481849471488,245.5252999,30.72253265,0.9583243,0
2MASS J16220753+2613380,1303486226029996544,245.5313946,26.22724833,0.9518269,0
2MASS J16220753+2613380,1303485848072971392,245.530986,26.22696434,1.2443445,0
2MASS J16221118+2757193,1305433358043077888,245.5466035,27.95542699,1.0592973,0
2MASS J16221118+2757193,1305433358043077888,245.5466035,27.95542699,1.0592973,0
2MASS J16221130+2520310,1302620394982961408,245.546823,25.34209111,0.93353564,0
2MASS J16221130+2520310,1302620394982961408,245.546823,25.34209111,0.93353564,0
2MASS J16221150+2552335,1303423996246634624,245.5479214,25.87589687,0.9946957,0
2MASS J16221346+2859525,1317564647789409280,245.5560399,28.99791544,1.0316441,0
2MASS J16221486+3046044,1318383131116913792,245.5617731,30.76788158,1.0386692,0
2MASS J16221535+2533557,1303380432395430272,245.5639904,25.56547634,1.3765022,0
2MASS J16221535+2533557,1303380432395430272,245.5639904,25.56547634,1.3765022,0
2MASS J16221634+3308326,1325582179203671424,245.5680695,33.1423761,0.95312476,0
